CASE_NO,ACCD_TP,Sub_bur,Eve_time,YEAR,MONTH,HOUR,Two_HOUR,Three_HOUR,WEEKDAY,Distr,Num_casual,Num_wound,Weather,Light_condition,Road_category,Speed_limit,Road_type,Acc_location,Pavement_con,Signal_classfication,Accident_type,Sex,AGE,Protect_equip,Mobile,Car_type,Move_type,Qualified,Alcohol
CI129144,2,CI,10208012235,102,8,22,12,8,4,110,0,1,1,2,2,50,2,3,1,4,12,1,6,1,1,4,9,1,1
CI129144,2,CI,10208012235,102,8,22,12,8,4,110,0,1,1,2,2,50,2,3,1,4,12,1,4,1,1,6,9,1,1
C5130850,2,C5,10207301740,102,7,17,9,6,2,103,0,1,3,1,2,50,2,4,2,4,12,1,4,3,4,3,15,1,1
C5127574,2,C5,10208011920,102,8,19,10,7,4,103,0,2,2,2,2,30,1,1,2,4,17,1,4,1,1,6,9,1,1
C5127574,2,C5,10208011920,102,8,19,10,7,4,103,0,2,2,2,2,30,1,1,2,4,17,1,4,1,1,6,9,1,1
C7148374,2,C7,10208010945,102,8,9,5,4,4,104,0,1,3,1,2,40,1,1,2,4,16,1,6,1,1,4,9,1,1
C7148374,2,C7,10208010945,102,8,9,5,4,4,104,0,1,3,1,2,40,1,1,2,4,16,1,6,1,1,6,9,1,1
CD117232,2,CD,10207311820,102,7,18,10,7,3,112,0,1,3,2,2,50,1,1,2,4,12,1,3,1,1,6,9,1,1
CD117391,2,CD,10207301710,102,7,17,9,6,2,112,0,1,3,1,2,50,1,1,2,2,12,1,5,3,4,6,5,1,1
C9120039,2,C9,10208012215,102,8,22,12,8,4,100,0,1,1,2,2,50,1,1,1,1,17,1,4,1,1,6,5,1,1
C9120039,2,C9,10208012215,102,8,22,12,8,4,100,0,1,1,2,2,50,1,1,1,1,17,1,3,1,1,6,9,1,1
CE113064,2,CE,10208012228,102,8,22,12,8,4,116,0,3,1,2,2,50,1,1,1,2,17,1,4,3,4,6,9,1,1
CE113064,2,CE,10208012228,102,8,22,12,8,4,116,0,3,1,2,2,50,1,1,1,2,17,1,5,3,4,3,15,1,1
CE113064,2,CE,10208012228,102,8,22,12,8,4,116,0,3,1,2,2,50,1,1,1,2,17,2,3,3,3,8,20,3,1
CD117236,2,CD,10208020100,102,8,1,1,1,5,112,0,1,2,2,2,50,1,1,1,1,16,1,3,1,1,6,9,1,1
CD117235,2,CD,10208012200,102,8,22,12,8,4,112,0,1,1,2,2,50,1,1,1,4,14,2,7,1,1,6,9,1,1
C5126845,2,C5,10208011210,102,8,12,7,5,4,103,0,2,3,1,2,40,1,1,2,4,15,2,4,3,4,6,9,1,1
C5126845,2,C5,10208011210,102,8,12,7,5,4,103,0,2,3,1,2,40,1,1,2,4,15,1,3,3,4,6,9,1,1
CC139428,2,CC,10207271238,102,7,12,7,5,6,111,0,1,3,1,2,40,1,1,2,4,12,1,3,4,3,8,20,3,2
CG140217,2,CG,10206011430,102,6,14,8,5,6,114,0,2,3,1,2,50,2,4,2,4,12,2,3,1,1,6,9,1,1
CG140217,2,CG,10206011430,102,6,14,8,5,6,114,0,2,3,1,2,50,2,4,2,4,12,1,1,4,3,8,20,3,2
CA111463,2,CA,10205292140,102,5,21,11,8,3,100,0,2,3,2,2,50,2,4,2,4,9,1,6,4,3,8,16,3,1
C7146028,2,C7,10205312015,102,5,20,11,7,5,104,0,2,3,2,2,50,1,1,2,1,11,1,5,1,1,3,5,1,1
CF108699,2,CF,10206011145,102,6,11,6,4,6,116,0,1,3,1,2,30,1,1,2,4,15,1,4,1,1,6,9,1,1
C7146028,2,C7,10205312015,102,5,20,11,7,5,104,0,2,3,2,2,50,1,1,2,1,11,2,3,4,3,8,20,3,2
CF108699,2,CF,10206011145,102,6,11,6,4,6,116,0,1,3,1,2,30,1,1,2,4,15,1,4,4,3,8,20,3,1
CD121051,2,CD,10206011008,102,6,10,6,4,6,112,0,1,3,1,2,50,2,4,2,4,11,1,7,1,1,6,9,1,1
CD121051,2,CD,10206011008,102,6,10,6,4,6,112,0,1,3,1,2,50,2,4,2,4,11,2,1,4,3,8,20,3,2
CI900434,2,CI,10206011438,102,6,14,8,5,6,110,0,1,3,1,2,50,1,1,2,1,15,2,4,1,1,6,9,1,1
